Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Acute Myocardial Infarction after Laboratory-Confirmed Influenza Infection.,""/pubmed/29952174"",""Buckley LF."",""N Engl J Med. 2018 Jun 28";"378(26):2539-40. doi: 10.1056/NEJMc1805679. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952174"",""pubmed"",""29952174"",""create date:2018/06/29 | first author:Buckley LF"",";;
"Acute Myocardial Infarction after Laboratory-Confirmed Influenza Infection.,""/pubmed/29952173"",""Castillo-Rodriguez E, Fernandez-Prado R, Ortiz A."",""N Engl J Med. 2018 Jun 28";"378(26):2539. doi: 10.1056/NEJMc1805679. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952173"",""pubmed"",""29952173"",""create date:2018/06/29 | first author:Castillo-Rodriguez E"",";;
"Acute Myocardial Infarction after Laboratory-Confirmed Influenza Infection.,""/pubmed/29952171"",""Wiessman M, Shlomai A."",""N Engl J Med. 2018 Jun 28";"378(26):2539. doi: 10.1056/NEJMc1805679. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952171"",""pubmed"",""29952171"",""create date:2018/06/29 | first author:Wiessman M"",";;
"Acute Myocardial Infarction after Laboratory-Confirmed Influenza Infection.,""/pubmed/29952170"",""Waxman DA, Kanzaria HK, Schriger DL."",""N Engl J Med. 2018 Jun 28";"378(26):2538-9. doi: 10.1056/NEJMc1805679. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952170"",""pubmed"",""29952170"",""create date:2018/06/29 | first author:Waxman DA"",";;
"Change in Overweight from Childhood to Early Adulthood and Risk of Type 2 Diabetes.,""/pubmed/29952168"",""Can B, Can B."",""N Engl J Med. 2018 Jun 28";"378(26):2537. doi: 10.1056/NEJMc1805984. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952168"",""pubmed"",""29952168"",""create date:2018/06/29 | first author:Can B"",";;
"Change in Overweight from Childhood to Early Adulthood and Risk of Type 2 Diabetes.,""/pubmed/29952166"",""Cadwell JB, Shukla AP."",""N Engl J Med. 2018 Jun 28";"378(26):2537. doi: 10.1056/NEJMc1805984. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29952166"",""pubmed"",""29952166"",""create date:2018/06/29 | first author:Cadwell JB"",";;
"Prophylaxis against Upper Gastrointestinal Bleeding in Hospitalized Patients.,""/pubmed/29949497"",""Cook D, Guyatt G."",""N Engl J Med. 2018 Jun 28";"378(26):2506-2516. doi: 10.1056/NEJMra1605507. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949497"",""pubmed"",""29949497"",""create date:2018/06/28 | first author:Cook D"",";;
"Tongue Necrosis in Giant-Cell Arteritis.,""/pubmed/29949496"",""Truffaut L, Lefebvre P."",""N Engl J Med. 2018 Jun 28";"378(26):2517. doi: 10.1056/NEJMicm1709412. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949496"",""pubmed"",""29949496"",""create date:2018/06/28 | first author:Truffaut L"",";;
"Apalutamide and Metastasis-free Survival in Prostate Cancer.,""/pubmed/29949495"",""Smith MR, Yu MK, Small EJ."",""N Engl J Med. 2018 Jun 28";"378(26):2542. doi: 10.1056/NEJMc1806189. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949495"",""pubmed"",""29949495"",""create date:2018/06/28 | first author:Smith MR"",";;
"Enzalutamide in Men with Nonmetastatic, Castration-Resistant Prostate Cancer.,""/pubmed/29949494"",""Hussain M, Fizazi K, Saad F, Rathenborg P, Shore N, Ferreira U, Ivashchenko P, Demirhan E, Modelska K, Phung, Krivoshik A, Sternberg CN."",""N Engl J Med. 2018 Jun 28";"378(26):2465-2474. doi: 10.1056/NEJMoa1800536."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949494"",""pubmed"",""29949494"",""create date:2018/06/28 | first author:Hussain M"",";;
"Case 5-2018: A Man with Confusion after Stem-Cell Transplantation.,""/pubmed/29949493"",""El-Jawahri AR, El Khoury JB, Martinez-Lage M."",""N Engl J Med. 2018 Jun 28";"378(26):2545. doi: 10.1056/NEJMc1806522. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949493"",""pubmed"",""29949493"",""create date:2018/06/28 | first author:El-Jawahri AR"",";;
"Combined Analysis of Asthma Safety Trials of Long-Acting β(2)-Agonists.,""/pubmed/29949492"",""Busse WW, Bateman ED, Caplan AL, Kelly HW, O'Byrne PM, Rabe KF, Chinchilli VM."",""N Engl J Med. 2018 Jun 28";"378(26):2497-2505. doi: 10.1056/NEJMoa1716868."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949492"",""pubmed"",""29949492"",""create date:2018/06/28 | first author:Busse WW"",";;
"Personhood and the Three Branches of Government.,""/pubmed/29949491"",""Cohen IG, Adashi EY."",""N Engl J Med. 2018 Jun 28";"378(26):2453-2455. doi: 10.1056/NEJMp1801940. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949491"",""pubmed"",""29949491"",""create date:2018/06/28 | first author:Cohen IG"",";;
"Making Neighborhood-Disadvantage Metrics Accessible - The Neighborhood Atlas.,""/pubmed/29949490"",""Kind AJH, Buckingham WR."",""N Engl J Med. 2018 Jun 28";"378(26):2456-2458. doi: 10.1056/NEJMp1802313. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949490 | PMCID:PMC6051533"",""pubmed"",""29949490"",""create date:2018/06/28 | first author:Kind AJH"",";;
"Metastasis-free Survival - A New End Point in Prostate Cancer Trials.,""/pubmed/29949489"",""Beaver JA, Kluetz PG, Pazdur R."",""N Engl J Med. 2018 Jun 28";"378(26):2458-2460. doi: 10.1056/NEJMp1805966. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949489"",""pubmed"",""29949489"",""create date:2018/06/28 | first author:Beaver JA"",";;
"Progress in Nonmetastatic Prostate Cancer.,""/pubmed/29949488"",""Smith MR."",""N Engl J Med. 2018 Jun 28";"378(26):2531-2532. doi: 10.1056/NEJMe1805733. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949488"",""pubmed"",""29949488"",""create date:2018/06/28 | first author:Smith MR"",";;
"Autoimmune Polyendocrine Syndromes.,""/pubmed/29949487"",""Husebye ES, Anderson MS, Kämpe O."",""N Engl J Med. 2018 Jun 28";"378(26):2543-2544. doi: 10.1056/NEJMc1805308. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949487"",""pubmed"",""29949487"",""create date:2018/06/28 | first author:Husebye ES"",";;
"Change in Overweight from Childhood to Early Adulthood and Risk of Type 2 Diabetes.,""/pubmed/29949486"",""Bjerregaard LG, Baker JL."",""N Engl J Med. 2018 Jun 28";"378(26):2537-2538. doi: 10.1056/NEJMc1805984. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949486"",""pubmed"",""29949486"",""create date:2018/06/28 | first author:Bjerregaard LG"",";;
"Inhaled Corticosteroids and LABAs - Removal of the FDA's Boxed Warning.,""/pubmed/29949485"",""Seymour SM, Lim R, Xia C, Andraca-Carrera E, Chowdhury BA."",""N Engl J Med. 2018 Jun 28";"378(26):2461-2463. doi: 10.1056/NEJMp1716858. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949485"",""pubmed"",""29949485"",""create date:2018/06/28 | first author:Seymour SM"",";;
"Acute Myocardial Infarction after Laboratory-Confirmed Influenza Infection.,""/pubmed/29949484"",""Kwong JC, Schwartz KL, Campitelli MA."",""N Engl J Med. 2018 Jun 28";"378(26):2540-2541. doi: 10.1056/NEJMc1805679. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949484"",""pubmed"",""29949484"",""create date:2018/06/28 | first author:Kwong JC"",";;
"Case 20-2018: A 64-Year-Old Man with Fever, Arthralgias, and Testicular Pain.,""/pubmed/29949483"",""Sacks CA, Kilcoyne A, Wallace ZS, Glomski K."",""N Engl J Med. 2018 Jun 28";"378(26):2518-2529. doi: 10.1056/NEJMcpc1800334. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949483"",""pubmed"",""29949483"",""create date:2018/06/28 | first author:Sacks CA"",";;
"Adrenal Calcifications in an Infant.,""/pubmed/29949482"",""Krause I, Gavrieli H."",""N Engl J Med. 2018 Jun 28";"378(26):e36. doi: 10.1056/NEJMicm1711735. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949482"",""pubmed"",""29949482"",""create date:2018/06/28 | first author:Krause I"",";;
"Heat-Stable Carbetocin versus Oxytocin to Prevent Hemorrhage after Vaginal Birth.,""/pubmed/29949473"",""Widmer M, Piaggio G, Nguyen TMH, Osoti A, Owa OO, Misra S, Coomarasamy A, Abdel-Aleem H, Mallapur AA, Qureshi Z, Lumbiganon P, Patel AB, Carroli G, Fawole B, Goudar SS, Pujar YV, Neilson J, Hofmeyr GJ, Su LL, Ferreira de Carvalho J, Pandey U, Mugerwa K, et al."",""N Engl J Med. 2018 Aug 23";"379(8):743-752. doi: 10.1056/NEJMoa1805489. Epub 2018 Jun 27."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949473"",""pubmed"",""29949473"",""create date:2018/06/28 | first author:Widmer M"",";;
"Accreditation of Clinical Research Sites - Moving Forward.,""/pubmed/29949451"",""Koski G, Kennedy L, Tobin MF, Whalen M."",""N Engl J Med. 2018 Aug 2";"379(5):405-407. doi: 10.1056/NEJMp1806934. Epub 2018 Jun 27. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949451"",""pubmed"",""29949451"",""create date:2018/06/28 | first author:Koski G"",";;
"Firearm Injuries and Violence Prevention - The Potential Power of a Surgeon General's Report.,""/pubmed/29949446"",""Maa J, Darzi A."",""N Engl J Med. 2018 Aug 2";"379(5):408-410. doi: 10.1056/NEJMp1803295. Epub 2018 Jun 27. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29949446"",""pubmed"",""29949446"",""create date:2018/06/28 | first author:Maa J"",";;
"Recurrent Glioblastoma Treated with Recombinant Poliovirus.,""/pubmed/29943666"",""Desjardins A, Gromeier M, Herndon JE 2nd, Beaubier N, Bolognesi DP, Friedman AH, Friedman HS, McSherry F, Muscat AM, Nair S, Peters KB, Randazzo D, Sampson JH, Vlahovic G, Harrison WT, McLendon RE, Ashley D, Bigner DD."",""N Engl J Med. 2018 Jul 12";"379(2):150-161. doi: 10.1056/NEJMoa1716435. Epub 2018 Jun 26."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29943666 | PMCID:PMC6065102"",""pubmed"",""29943666"",""create date:2018/06/27 | first author:Desjardins A"",";;
"Exploiting Viruses to Treat Diseases.,""/pubmed/29943655"",""Longo DL, Baden LR."",""N Engl J Med. 2018 Jul 12";"379(2):194-196. doi: 10.1056/NEJMe1807181. Epub 2018 Jun 26. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29943655"",""pubmed"",""29943655"",""create date:2018/06/27 | first author:Longo DL"",";;
"Closed-Loop Insulin Delivery for Glycemic Control in Noncritical Care.,""/pubmed/29940126"",""Bally L, Thabit H, Hartnell S, Andereggen E, Ruan Y, Wilinska ME, Evans ML, Wertli MM, Coll AP, Stettler C, Hovorka R."",""N Engl J Med. 2018 Aug 9";"379(6):547-556. doi: 10.1056/NEJMoa1805233. Epub 2018 Jun 25."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29940126"",""pubmed"",""29940126"",""create date:2018/06/26 | first author:Bally L"",";;
"The Suffering of Children.,""/pubmed/29932842"",""Danaher F."",""N Engl J Med. 2018 Jul 12";"379(2):e4. doi: 10.1056/NEJMp1808443. Epub 2018 Jun 22. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29932842"",""pubmed"",""29932842"",""create date:2018/06/23 | first author:Danaher F"",";;
"Housing Immigrant Children - The Inhumanity of Constant Illumination.,""/pubmed/29932841"",""Czeisler CA."",""N Engl J Med. 2018 Jul 12";"379(2):e3. doi: 10.1056/NEJMp1808450. Epub 2018 Jun 22. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29932841"",""pubmed"",""29932841"",""create date:2018/06/23 | first author:Czeisler CA"",";;
"Are We Prepared for Nuclear Terrorism?,""/pubmed/29927192"",""Takahashi Y."",""N Engl J Med. 2018 Jun 21";"378(25):2448-9. doi: 10.1056/NEJMc1805627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927192"",""pubmed"",""29927192"",""create date:2018/06/22 | first author:Takahashi Y"",";;
"Are We Prepared for Nuclear Terrorism?,""/pubmed/29927190"",""Ende N."",""N Engl J Med. 2018 Jun 21";"378(25):2448. doi: 10.1056/NEJMc1805627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927190"",""pubmed"",""29927190"",""create date:2018/06/22 | first author:Ende N"",";;
"Are We Prepared for Nuclear Terrorism?,""/pubmed/29927189"",""Gilstad J, Skinner WK, Robb DJ."",""N Engl J Med. 2018 Jun 21";"378(25):2448. doi: 10.1056/NEJMc1805627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927189"",""pubmed"",""29927189"",""create date:2018/06/22 | first author:Gilstad J"",";;
"Are We Prepared for Nuclear Terrorism?,""/pubmed/29927188"",""Confer D, Chao N, Case C Jr."",""N Engl J Med. 2018 Jun 21";"378(25):2447. doi: 10.1056/NEJMc1805627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927188"",""pubmed"",""29927188"",""create date:2018/06/22 | first author:Confer D"",";;
"High-Flow Oxygen Therapy in Infants with Bronchiolitis.,""/pubmed/29927187"",""Linssen RS, van Woensel JB, Bont L."",""N Engl J Med. 2018 Jun 21";"378(25):2445-6. doi: 10.1056/NEJMc1805312. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927187"",""pubmed"",""29927187"",""create date:2018/06/22 | first author:Linssen RS"",";;
"High-Flow Oxygen Therapy in Infants with Bronchiolitis.,""/pubmed/29927185"",""de Benedictis FM, Cogo P."",""N Engl J Med. 2018 Jun 21";"378(25):2444-5. doi: 10.1056/NEJMc1805312. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927185"",""pubmed"",""29927185"",""create date:2018/06/22 | first author:de Benedictis FM"",";;
"High-Flow Oxygen Therapy in Infants with Bronchiolitis.,""/pubmed/29927181"",""Modesto i Alapont V, Garcia Cuscó M, Medina A."",""N Engl J Med. 2018 Jun 21";"378(25):2444. doi: 10.1056/NEJMc1805312. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29927181"",""pubmed"",""29927181"",""create date:2018/06/22 | first author:Modesto i Alapont V"",";;
"High-Flow Oxygen Therapy in Infants with Bronchiolitis.,""/pubmed/29926713"",""Meskill SD, Moore RH."",""N Engl J Med. 2018 Jun 21";"378(25):2444. doi: 10.1056/NEJMc1805312. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29926713"",""pubmed"",""29926713"",""create date:2018/06/22 | first author:Meskill SD"",";;
"Molecular Minimal Residual Disease in Acute Myeloid Leukemia.,""/pubmed/29926700"",""Mauvieux L, Miguet L, Fornecker L."",""N Engl J Med. 2018 Jun 21";"378(25):2442-3. doi: 10.1056/NEJMc1805501. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29926700"",""pubmed"",""29926700"",""create date:2018/06/22 | first author:Mauvieux L"",";;
"Molecular Minimal Residual Disease in Acute Myeloid Leukemia.,""/pubmed/29926698"",""Ulrich BC."",""N Engl J Med. 2018 Jun 21";"378(25):2442. doi: 10.1056/NEJMc1805501. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29926698"",""pubmed"",""29926698"",""create date:2018/06/22 | first author:Ulrich BC"",";;
"Subclinical Hyperthyroidism.,""/pubmed/29924956"",""Biondi B, Cooper DS."",""N Engl J Med. 2018 Jun 21";"378(25):2411-2419. doi: 10.1056/NEJMcp1709318. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924956"",""pubmed"",""29924956"",""create date:2018/06/21 | first author:Biondi B"",";;
"Sodium Thiosulfate for Protection from Cisplatin-Induced Hearing Loss.,""/pubmed/29924955"",""Brock PR, Maibach R, Childs M, Rajput K, Roebuck D, Sullivan MJ, Laithier V, Ronghe M, Dall'Igna P, Hiyama E, Brichard B, Skeen J, Mateos ME, Capra M, Rangaswami AA, Ansari M, Rechnitzer C, Veal GJ, Covezzoli A, Brugières L, Perilongo G, Czauderna P, et al."",""N Engl J Med. 2018 Jun 21";"378(25):2376-2385. doi: 10.1056/NEJMoa1801109."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924955 | PMCID:PMC6117111"",""pubmed"",""29924955"",""create date:2018/06/21 | first author:Brock PR"",";;
"High-Flow Oxygen Therapy in Infants with Bronchiolitis.,""/pubmed/29924954"",""Franklin D, Babl FE, Schibler A."",""N Engl J Med. 2018 Jun 21";"378(25):2446-2447. doi: 10.1056/NEJMc1805312. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924954"",""pubmed"",""29924954"",""create date:2018/06/21 | first author:Franklin D"",";;
"The Graduate Nurse Education Demonstration - Implications for Medicare Policy.,""/pubmed/29924953"",""Aiken LH, Dahlerbruch J, Todd B, Bai G."",""N Engl J Med. 2018 Jun 21";"378(25):2360-2363. doi: 10.1056/NEJMp1800567. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924953"",""pubmed"",""29924953"",""create date:2018/06/21 | first author:Aiken LH"",";;
"Are We Prepared for Nuclear Terrorism?,""/pubmed/29924952"",""Gale RP, Armitage JO."",""N Engl J Med. 2018 Jun 21";"378(25):2449-2450. doi: 10.1056/NEJMc1805627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924952"",""pubmed"",""29924952"",""create date:2018/06/21 | first author:Gale RP"",";;
"Molecular Minimal Residual Disease in Acute Myeloid Leukemia.,""/pubmed/29924951"",""Löwenberg B, Valk PJM."",""N Engl J Med. 2018 Jun 21";"378(25):2443. doi: 10.1056/NEJMc1805501. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924951"",""pubmed"",""29924951"",""create date:2018/06/21 | first author:Löwenberg B"",";;
"Informed Consent and the Role of the Treating Physician.,""/pubmed/29924950"",""Fernandez Lynch H, Joffe S, Feldman EA."",""N Engl J Med. 2018 Jun 21";"378(25):2433-2438. doi: 10.1056/NEJMhle1800071. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924950"",""pubmed"",""29924950"",""create date:2018/06/21 | first author:Fernandez Lynch H"",";;
"Case 19-2018: A 15-Year-Old Girl with Acute Kidney Injury.,""/pubmed/29924949"",""Kao AY, Sagar P, Klig JE, Sharma A, Tomaszewski KJ."",""N Engl J Med. 2018 Jun 21";"378(25):2421-2429. doi: 10.1056/NEJMcpc1802827. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924949"",""pubmed"",""29924949"",""create date:2018/06/21 | first author:Kao AY"",";;
"Stemming Lung Disease?,""/pubmed/29924948"",""Hogan B."",""N Engl J Med. 2018 Jun 21";"378(25):2439-2440. doi: 10.1056/NEJMcibr1803540. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924948"",""pubmed"",""29924948"",""create date:2018/06/21 | first author:Hogan B"",";;
"Migrating Dirofilaria repens.,""/pubmed/29924947"",""Kartashev V, Simon F."",""N Engl J Med. 2018 Jun 21";"378(25):e35. doi: 10.1056/NEJMicm1716138. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924947"",""pubmed"",""29924947"",""create date:2018/06/21 | first author:Kartashev V"",";;
"Macular Hole from a Laser Pointer.,""/pubmed/29924946"",""Androudi S, Papageorgiou E."",""N Engl J Med. 2018 Jun 21";"378(25):2420. doi: 10.1056/NEJMicm1714488. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924946"",""pubmed"",""29924946"",""create date:2018/06/21 | first author:Androudi S"",";;
"Why the VA Needs More Competition.,""/pubmed/29924945"",""Sheetz KH, Shulkin DJ."",""N Engl J Med. 2018 Jun 21";"378(25):2356-2357. doi: 10.1056/NEJMp1803642. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924945"",""pubmed"",""29924945"",""create date:2018/06/21 | first author:Sheetz KH"",";;
"Growing Ranks of Advanced Practice Clinicians - Implications for the Physician Workforce.,""/pubmed/29924944"",""Auerbach DI, Staiger DO, Buerhaus PI."",""N Engl J Med. 2018 Jun 21";"378(25):2358-2360. doi: 10.1056/NEJMp1801869. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924944"",""pubmed"",""29924944"",""create date:2018/06/21 | first author:Auerbach DI"",";;
"To Fight Burnout, Organize.,""/pubmed/29924700"",""Eisenstein L."",""N Engl J Med. 2018 Aug 9";"379(6):509-511. doi: 10.1056/NEJMp1803771. Epub 2018 Jun 20. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924700"",""pubmed"",""29924700"",""create date:2018/06/21 | first author:Eisenstein L"",";;
"Sociogenetic Risks - Ancestry DNA Testing, Third-Party Identity, and Protection of Privacy.,""/pubmed/29924688"",""May T."",""N Engl J Med. 2018 Aug 2";"379(5):410-412. doi: 10.1056/NEJMp1805870. Epub 2018 Jun 20. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29924688"",""pubmed"",""29924688"",""create date:2018/06/21 | first author:May T"",";;
"Tenofovir to Prevent Perinatal Transmission of Hepatitis B.,""/pubmed/29900727"",""Cheung KW, Seto MTY, Ng EHY."",""N Engl J Med. 2018 Jun 14";"378(24):2349-50. doi: 10.1056/NEJMc1805396. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29900727"",""pubmed"",""29900727"",""create date:2018/06/15 | first author:Cheung KW"",";;
"Tenofovir to Prevent Perinatal Transmission of Hepatitis B.,""/pubmed/29900726"",""Gerlich W, Glebe D."",""N Engl J Med. 2018 Jun 14";"378(24):2349. doi: 10.1056/NEJMc1805396. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29900726"",""pubmed"",""29900726"",""create date:2018/06/15 | first author:Gerlich W"",";;
"Tenofovir to Prevent Perinatal Transmission of Hepatitis B.,""/pubmed/29900725"",""Terrault NA, Feld JJ, Lok ASF."",""N Engl J Med. 2018 Jun 14";"378(24):2348-9. doi: 10.1056/NEJMc1805396. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29900725"",""pubmed"",""29900725"",""create date:2018/06/15 | first author:Terrault NA"",";;
"Effect of Bronchoconstriction on Airway Remodeling in Asthma.,""/pubmed/29898375"",""[No authors listed]"",""N Engl J Med. 2018 Jun 13. doi: 10.1056/NEJMx180023. [Epub ahead of print] No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29898375"",""pubmed"",""29898375"",""create date:2018/06/14"",";;;
"Extended Antiretroviral Prophylaxis to Reduce Breast-Milk HIV-1 Transmission.,""/pubmed/29898374"",""[No authors listed]"",""N Engl J Med. 2018 Jun 13. doi: 10.1056/NEJMx180021. [Epub ahead of print] No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29898374"",""pubmed"",""29898374"",""create date:2018/06/14"",";;;
"Treatment of Periodontitis and Endothelial Function.,""/pubmed/29898373"",""[No authors listed]"",""N Engl J Med. 2018 Jun 13. doi: 10.1056/NEJMx180022. [Epub ahead of print] No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29898373"",""pubmed"",""29898373"",""create date:2018/06/14"",";;;
"Trolleyology and the Dengue Vaccine Dilemma.,""/pubmed/29898371"",""Rosenbaum L."",""N Engl J Med. 2018 Jul 26";"379(4):305-307. doi: 10.1056/NEJMp1804094. Epub 2018 Jun 13. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29898371"",""pubmed"",""29898371"",""create date:2018/06/14 | first author:Rosenbaum L"",";;
"High-Dose Atorvastatin after Stroke or Transient Ischemic Attack.,""/pubmed/29898369"",""[No authors listed]"",""N Engl J Med. 2018 Jun 13. doi: 10.1056/NEJMx180019. [Epub ahead of print] No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29898369"",""pubmed"",""29898369"",""create date:2018/06/14"",";;;
"Retraction and Republication: Primary Prevention of Cardiovascular Disease with a Mediterranean Diet. N Engl J Med 2013;368:1279-90.,""/pubmed/29897867"",""Estruch R, Ros E, Salas-Salvadó J, Covas MI, Corella D, Arós F, Gómez-Gracia E, Ruiz-Gutiérrez V, Fiol M, Lapetra J, Lamuela-Raventos RM, Serra-Majem L, Pintó X, Basora J, Muñoz MA, Sorlí JV, Martínez JA, Martínez-González MA."",""N Engl J Med. 2018 Jun 21";378(25):2441-2442. doi: 10.1056/NEJMc1806491. Epub 2018 Jun 13. No abstract available.  Corrected and republished in: N Engl J Med. 2018 Jun 21;"378(25):e34. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29897867"",""pubmed"",""29897867"",""create date:2018/06/14 | first author:Estruch R"",";
"Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts.,""/pubmed/29897866"",""Estruch R, Ros E, Salas-Salvadó J, Covas MI, Corella D, Arós F, Gómez-Gracia E, Ruiz-Gutiérrez V, Fiol M, Lapetra J, Lamuela-Raventos RM, Serra-Majem L, Pintó X, Basora J, Muñoz MA, Sorlí JV, Martínez JA, Fitó M, Gea A, Hernán MA, Martínez-González MA";" PREDIMED Study Investigators.."",""N Engl J Med. 2018 Jun 21";"378(25):e34. doi: 10.1056/NEJMoa1800389. Epub 2018 Jun 13."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29897866"",""pubmed"",""29897866"",""create date:2018/06/14 | first author:Estruch R"",";
"Social Media and Advancement of Women Physicians.,""/pubmed/29897857"",""Shillcutt SK, Silver JK."",""N Engl J Med. 2018 Jun 14";"378(24):2342-2345. doi: 10.1056/NEJMms1801980. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29897857"",""pubmed"",""29897857"",""create date:2018/06/14 | first author:Shillcutt SK"",";;
"Fluid Composition, Infusion Rate, and Brain Injury in Diabetic Ketoacidosis.,""/pubmed/29897856"",""Sperling MA."",""N Engl J Med. 2018 Jun 14";"378(24):2336-2338. doi: 10.1056/NEJMe1806017. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29897856"",""pubmed"",""29897856"",""create date:2018/06/14 | first author:Sperling MA"",";;
