Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Brain Marker Predicts Depression Outcomes.,""/pubmed/30043063"",""Slomski A."",""JAMA. 2018 Jul 24";"320(4):332. doi: 10.1001/jama.2018.10156. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043063"",""pubmed"",""30043063"",""create date:2018/07/26 | first author:Slomski A"",";;
"Cash Incentives Most Effective for Smoking Cessation.,""/pubmed/30043062"",""Slomski A."",""JAMA. 2018 Jul 24";"320(4):332. doi: 10.1001/jama.2018.10155. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043062"",""pubmed"",""30043062"",""create date:2018/07/26 | first author:Slomski A"",";;
"Home Visits Boost School Readiness.,""/pubmed/30043061"",""Slomski A."",""JAMA. 2018 Jul 24";"320(4):332. doi: 10.1001/jama.2018.10154. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043061"",""pubmed"",""30043061"",""create date:2018/07/26 | first author:Slomski A"",";;
"Exercise and Cognitive Decline in Dementia.,""/pubmed/30043060"",""Slomski A."",""JAMA. 2018 Jul 24";"320(4):332. doi: 10.1001/jama.2018.10153. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043060"",""pubmed"",""30043060"",""create date:2018/07/26 | first author:Slomski A"",";;
"Many Women With Early Breast Cancer May Not Need Chemotherapy.,""/pubmed/30043059"",""Slomski A."",""JAMA. 2018 Jul 24";"320(4):332. doi: 10.1001/jama.2018.9603. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043059"",""pubmed"",""30043059"",""create date:2018/07/26 | first author:Slomski A"",";;
"Andexxa-An Antidote for Apixaban and Rivaroxaban.,""/pubmed/30043058"",""[No authors listed]"",""JAMA. 2018 Jul 24";"320(4):399-400. doi: 10.1001/jama.2018.9257. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043058"",""pubmed"",""30043058"",""create date:2018/07/26"",";;
"Contact Precautions to Prevent Pathogen Transmission-Reply.,""/pubmed/30043057"",""Rubin MA, Samore MH, Harris AD."",""JAMA. 2018 Jul 24";"320(4):407-408. doi: 10.1001/jama.2018.6986. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043057"",""pubmed"",""30043057"",""create date:2018/07/26 | first author:Rubin MA"",";;
"Procalcitonin to Guide Antibiotic Decisions-Reply.,""/pubmed/30043056"",""Schuetz P, Mueller B."",""JAMA. 2018 Jul 24";"320(4):406-407. doi: 10.1001/jama.2018.6725. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043056"",""pubmed"",""30043056"",""create date:2018/07/26 | first author:Schuetz P"",";;
"Optimal Treatment for High-Risk Prostate Cancer-Reply.,""/pubmed/30043055"",""Kishan AU, Cook RR, King CR."",""JAMA. 2018 Jul 24";"320(4):405. doi: 10.1001/jama.2018.6721. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043055"",""pubmed"",""30043055"",""create date:2018/07/26 | first author:Kishan AU"",";;
"Inconsistent Reporting of Potential Conflicts of Interest.,""/pubmed/30043054"",""Prasad V."",""JAMA. 2018 Jul 24";"320(4):408. doi: 10.1001/jama.2018.9526. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043054"",""pubmed"",""30043054"",""create date:2018/07/26 | first author:Prasad V"",";;
"Contact Precautions to Prevent Pathogen Transmission.,""/pubmed/30043053"",""Kressel AB."",""JAMA. 2018 Jul 24";"320(4):407. doi: 10.1001/jama.2018.6982. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043053"",""pubmed"",""30043053"",""create date:2018/07/26 | first author:Kressel AB"",";;
"Procalcitonin to Guide Antibiotic Decisions.,""/pubmed/30043052"",""Talan DA."",""JAMA. 2018 Jul 24";"320(4):406. doi: 10.1001/jama.2018.6713. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043052"",""pubmed"",""30043052"",""create date:2018/07/26 | first author:Talan DA"",";;
"Optimal Treatment for High-Risk Prostate Cancer.,""/pubmed/30043051"",""Ong WL, Koh TL, Millar J."",""JAMA. 2018 Jul 24";"320(4):404-405. doi: 10.1001/jama.2018.6709. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043051"",""pubmed"",""30043051"",""create date:2018/07/26 | first author:Ong WL"",";;
"The Hygiene of Music.,""/pubmed/30043050"",""[No authors listed]"",""JAMA. 2018 Jul 24";"320(4):411. doi: 10.1001/jama.2017.12490. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043050"",""pubmed"",""30043050"",""create date:2018/07/26"",";;
"Prognosis Is Guarded for California's ""Patient's Right to Know Act"".,""/pubmed/30043049"",""Adashi EY."",""JAMA. 2018 Jul 24";"320(4):329-330. doi: 10.1001/jama.2018.9100. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043049"",""pubmed"",""30043049"",""create date:2018/07/26 | first author:Adashi EY"",";;
"Identifying Medicare Beneficiaries at Risk of Harm From Opioids.,""/pubmed/30043047"",""Rubin R."",""JAMA. 2018 Jul 24";"320(4):331. doi: 10.1001/jama.2018.10152. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043047"",""pubmed"",""30043047"",""create date:2018/07/26 | first author:Rubin R"",";;
"Hospital-Acquired Conditions Declining.,""/pubmed/30043046"",""Rubin R."",""JAMA. 2018 Jul 24";"320(4):331. doi: 10.1001/jama.2018.10151. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043046"",""pubmed"",""30043046"",""create date:2018/07/26 | first author:Rubin R"",";;
"Red Meat Allergy Associated With Coronary Artery Plaque.,""/pubmed/30043045"",""Rubin R."",""JAMA. 2018 Jul 24";"320(4):331. doi: 10.1001/jama.2018.9762. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043045"",""pubmed"",""30043045"",""create date:2018/07/26 | first author:Rubin R"",";;
"2018 IAS-USA Recommendations for the Use of Antiretroviral Therapy for HIV: Building on Decades of Progress.,""/pubmed/30043044"",""Riddell J 4th."",""JAMA. 2018 Jul 24";"320(4):347-349. doi: 10.1001/jama.2018.9184. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043044"",""pubmed"",""30043044"",""create date:2018/07/26 | first author:Riddell J 4th"",";;
"Bundled Strategies for the Care of Children With Presumed Sepsis.,""/pubmed/30043043"",""Vinci RJ, Melendez E."",""JAMA. 2018 Jul 24";"320(4):345-346. doi: 10.1001/jama.2018.9183. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043043"",""pubmed"",""30043043"",""create date:2018/07/26 | first author:Vinci RJ"",";;
"Incomplete Reporting of Potential Conflicts of Interest.,""/pubmed/30043042"",""[No authors listed]"",""JAMA. 2018 Jul 24";"320(4):409. doi: 10.1001/jama.2018.9757. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043042"",""pubmed"",""30043042"",""create date:2018/07/26"",";;
"Incomplete Reporting of Potential Conflicts of Interest.,""/pubmed/30043041"",""[No authors listed]"",""JAMA. 2018 Jul 24";"320(4):408. doi: 10.1001/jama.2018.9750. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043041"",""pubmed"",""30043041"",""create date:2018/07/26"",";;
"Data Error.,""/pubmed/30043040"",""[No authors listed]"",""JAMA. 2018 Jul 24";"320(4):409. doi: 10.1001/jama.2018.9744. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30043040"",""pubmed"",""30043040"",""create date:2018/07/26"",";;
"Legal Liability of Generic vs Brand Drug Manufacturers for Inadequate Product Labels.,""/pubmed/30039167"",""Boumil MM, Curfman G."",""JAMA. 2018 Aug 14";"320(6):547-548. doi: 10.1001/jama.2018.8408. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30039167"",""pubmed"",""30039167"",""create date:2018/07/25 | first author:Boumil MM"",";;
"Trends in Use of Transcatheter Aortic Valve Replacement by Age.,""/pubmed/30039166"",""Sedrakyan A, Dhruva SS, Sun T, Mao J, Gaudino MFL, Redberg RF."",""JAMA. 2018 Aug 14";"320(6):598-600. doi: 10.1001/jama.2018.9938. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30039166"",""pubmed"",""30039166"",""create date:2018/07/25 | first author:Sedrakyan A"",";;
"At ""Crisis Pregnancy Centers,"" Critics Say, Ideology Trumps Evidence.,""/pubmed/30027265"",""Rubin R."",""JAMA. 2018 Aug 7";"320(5):425-427. doi: 10.1001/jama.2018.8661. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027265"",""pubmed"",""30027265"",""create date:2018/07/22 | first author:Rubin R"",";;
"Older People With Disabilities Overlooked in Humanitarian Response.,""/pubmed/30027255"",""Friedrich MJ."",""JAMA. 2018 Jul 17";"320(3):227. doi: 10.1001/jama.2018.9738. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027255"",""pubmed"",""30027255"",""create date:2018/07/22 | first author:Friedrich MJ"",";;
"Global Temperature Affects Dengue.,""/pubmed/30027254"",""Friedrich MJ."",""JAMA. 2018 Jul 17";"320(3):227. doi: 10.1001/jama.2018.9737. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027254"",""pubmed"",""30027254"",""create date:2018/07/22 | first author:Friedrich MJ"",";;
"Efforts to Address Snakebite.,""/pubmed/30027253"",""Friedrich MJ."",""JAMA. 2018 Jul 17";"320(3):227. doi: 10.1001/jama.2018.9118. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027253"",""pubmed"",""30027253"",""create date:2018/07/22 | first author:Friedrich MJ"",";;
"And Still We Believed.,""/pubmed/30027251"",""Mannix R."",""JAMA. 2018 Jul 17";"320(3):235. doi: 10.1001/jama.2018.8654. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027251"",""pubmed"",""30027251"",""create date:2018/07/22 | first author:Mannix R"",";;
"Risk Assessment for Cardiovascular Disease With Nontraditional Risk Factors.,""/pubmed/30027249"",""Jin J."",""JAMA. 2018 Jul 17";"320(3):316. doi: 10.1001/jama.2018.9122. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027249"",""pubmed"",""30027249"",""create date:2018/07/22 | first author:Jin J"",";;
"Association of Digital Media Use With Subsequent Symptoms of Attention-Deficit/Hyperactivity Disorder Among Adolescents.,""/pubmed/30027248"",""Ra CK, Cho J, Stone MD, De La Cerda J, Goldenson NI, Moroney E, Tung I, Lee SS, Leventhal AM."",""JAMA. 2018 Jul 17";"320(3):255-263. doi: 10.1001/jama.2018.8931."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027248"",""pubmed"",""30027248"",""create date:2018/07/22 | first author:Ra CK"",";;
"Off-label Use of Medications-Reply.,""/pubmed/30027247"",""Wallach JD, Ross JS."",""JAMA. 2018 Jul 17";"320(3):307-308. doi: 10.1001/jama.2018.6521. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027247"",""pubmed"",""30027247"",""create date:2018/07/22 | first author:Wallach JD"",";;
"Prophylactic Haloperidol for Critically Ill Adults-Reply.,""/pubmed/30027246"",""van den Boogaard M, Slooter AJC, Pickkers P."",""JAMA. 2018 Jul 17";"320(3):304-305. doi: 10.1001/jama.2018.6049. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027246"",""pubmed"",""30027246"",""create date:2018/07/22 | first author:van den Boogaard M"",";;
"Diagnosis and Treatment in Acute Respiratory Distress Syndrome-Reply.,""/pubmed/30027245"",""Fan E, Brodie D, Slutsky AS."",""JAMA. 2018 Jul 17";"320(3):306. doi: 10.1001/jama.2018.5932. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027245"",""pubmed"",""30027245"",""create date:2018/07/22 | first author:Fan E"",";;
"Off-label Use of Medications.,""/pubmed/30027244"",""Maschke K."",""JAMA. 2018 Jul 17";"320(3):306-307. doi: 10.1001/jama.2018.6517. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027244"",""pubmed"",""30027244"",""create date:2018/07/22 | first author:Maschke K"",";;
"Prophylactic Haloperidol for Critically Ill Adults.,""/pubmed/30027243"",""Torbic H, Duggal A."",""JAMA. 2018 Jul 17";"320(3):303-304. doi: 10.1001/jama.2018.6045. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027243"",""pubmed"",""30027243"",""create date:2018/07/22 | first author:Torbic H"",";;
"Prophylactic Haloperidol for Critically Ill Adults.,""/pubmed/30027242"",""Strik JJMH, Schieveld JNM."",""JAMA. 2018 Jul 17";"320(3):303. doi: 10.1001/jama.2018.6041. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027242"",""pubmed"",""30027242"",""create date:2018/07/22 | first author:Strik JJMH"",";;
"Diagnosis and Treatment of Acute Respiratory Distress Syndrome.,""/pubmed/30027241"",""Fuller BM, Mohr NM, Kollef MH."",""JAMA. 2018 Jul 17";"320(3):305-306. doi: 10.1001/jama.2018.5928. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027241"",""pubmed"",""30027241"",""create date:2018/07/22 | first author:Fuller BM"",";;
"Diagnosis and Treatment of Acute Respiratory Distress Syndrome.,""/pubmed/30027240"",""Tagami T, Sakka SG, Monnet X."",""JAMA. 2018 Jul 17";"320(3):305. doi: 10.1001/jama.2018.5924. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027240"",""pubmed"",""30027240"",""create date:2018/07/22 | first author:Tagami T"",";;
"Clinical Trial Evidence Supporting FDA Approval of Drugs Granted Breakthrough Therapy Designation.,""/pubmed/30027239"",""Puthumana J, Wallach JD, Ross JS."",""JAMA. 2018 Jul 17";"320(3):301-303. doi: 10.1001/jama.2018.7619. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027239"",""pubmed"",""30027239"",""create date:2018/07/22 | first author:Puthumana J"",";;
"Relation of Education to Preventive Medicine.,""/pubmed/30027238"",""[No authors listed]"",""JAMA. 2018 Jul 17";"320(3):310. doi: 10.1001/jama.2017.12468. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027238"",""pubmed"",""30027238"",""create date:2018/07/22"",";;
"The Risks and Benefits of Expedited Drug Reviews.,""/pubmed/30027237"",""Frakt AB."",""JAMA. 2018 Jul 17";"320(3):225-226. doi: 10.1001/jama.2018.8262. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027237"",""pubmed"",""30027237"",""create date:2018/07/22 | first author:Frakt AB"",";;
"Generic for Opioid Use Disorder.,""/pubmed/30027235"",""Voelker R."",""JAMA. 2018 Jul 17";320(3):228. doi: 10.1001/jama.2018.9584. No abstract available.  Erratum in: JAMA. 2018 Sep 4;"320(9):938. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027235"",""pubmed"",""30027235"",""create date:2018/07/22 | first author:Voelker R"",";
"Caffeine Supplement Warning.,""/pubmed/30027234"",""Voelker R."",""JAMA. 2018 Jul 17";"320(3):228. doi: 10.1001/jama.2018.9508. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027234"",""pubmed"",""30027234"",""create date:2018/07/22 | first author:Voelker R"",";;
"FDA Prods ""Clean Meat"" Discussion.,""/pubmed/30027233"",""Voelker R."",""JAMA. 2018 Jul 17";"320(3):228. doi: 10.1001/jama.2018.9507. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027233"",""pubmed"",""30027233"",""create date:2018/07/22 | first author:Voelker R"",";;
"The Status of End-of-Life Care in the United States: The Glass Is Half Full.,""/pubmed/30027232"",""Emanuel EJ."",""JAMA. 2018 Jul 17";"320(3):239-241. doi: 10.1001/jama.2018.10062. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027232"",""pubmed"",""30027232"",""create date:2018/07/22 | first author:Emanuel EJ"",";;
"Digital Media and Symptoms of Attention-Deficit/Hyperactivity Disorder in Adolescents.,""/pubmed/30027231"",""Radesky J."",""JAMA. 2018 Jul 17";320(3):237-239. doi: 10.1001/jama.2018.8932. No abstract available.  Erratum in: JAMA. 2018 Aug 28;"320(8):840. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027231"",""pubmed"",""30027231"",""create date:2018/07/22 | first author:Radesky J"",";
"Carcinoembryonic Antigen for Diagnosis of Colorectal Cancer Recurrence.,""/pubmed/30027230"",""Kim SS, Donahue TR, Girgis MD."",""JAMA. 2018 Jul 17";"320(3):298-299. doi: 10.1001/jama.2018.8424. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027230"",""pubmed"",""30027230"",""create date:2018/07/22 | first author:Kim SS"",";;
"Removal of Drug Name From the Table.,""/pubmed/30027229"",""[No authors listed]"",""JAMA. 2018 Jul 17";"320(3):308. doi: 10.1001/jama.2018.9636. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027229"",""pubmed"",""30027229"",""create date:2018/07/22"",";;
"Data Errors in Figure 3 and Labels Transposed in Figure 4.,""/pubmed/30027228"",""[No authors listed]"",""JAMA. 2018 Jul 17";"320(3):308. doi: 10.1001/jama.2018.9635. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027228"",""pubmed"",""30027228"",""create date:2018/07/22"",";;
"Potential Child Health Consequences of the Federal Policy Separating Immigrant Children From Their Parents.,""/pubmed/30027216"",""Zucker HA, Greene D."",""JAMA. 2018 Aug 14";"320(6):541-542. doi: 10.1001/jama.2018.10905. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027216"",""pubmed"",""30027216"",""create date:2018/07/22 | first author:Zucker HA"",";;
"Probiotics to Prevent Clostridium difficile Infection in Patients Receiving Antibiotics.,""/pubmed/30027207"",""Goldenberg JZ, Mertz D, Johnston BC."",""JAMA. 2018 Aug 7";"320(5):499-500. doi: 10.1001/jama.2018.9064."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30027207"",""pubmed"",""30027207"",""create date:2018/07/22 | first author:Goldenberg JZ"",";;
"Perinatal Marijuana Use and the Developing Child.,""/pubmed/30014136"",""Jansson LM, Jordan CJ, Velez ML."",""JAMA. 2018 Aug 14";"320(6):545-546. doi: 10.1001/jama.2018.8401. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30014136"",""pubmed"",""30014136"",""create date:2018/07/18 | first author:Jansson LM"",";;
"Direct Primary Care: One Step Forward, Two Steps Back.,""/pubmed/30003236"",""Adashi EY, Clodfelter RP, George P."",""JAMA. 2018 Aug 21";"320(7):637-638. doi: 10.1001/jama.2018.8405. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30003236"",""pubmed"",""30003236"",""create date:2018/07/14 | first author:Adashi EY"",";;
"USPSTF Recommendations for Assessment of Cardiovascular Risk With Nontraditional Risk Factors: Finding the Right Tests for the Right Patients.,""/pubmed/29998347"",""Wilkins JT, Lloyd-Jones DM."",""JAMA. 2018 Jul 17";"320(3):242-244. doi: 10.1001/jama.2018.9346. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998347"",""pubmed"",""29998347"",""create date:2018/07/13 | first author:Wilkins JT"",";;
"Stroke Rehab Lacking.,""/pubmed/29998346"",""Kuehn B."",""JAMA. 2018 Jul 10";"320(2):128. doi: 10.1001/jama.2018.9047. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998346"",""pubmed"",""29998346"",""create date:2018/07/13 | first author:Kuehn B"",";;
"Pool-Related Infections.,""/pubmed/29998345"",""Kuehn B."",""JAMA. 2018 Jul 10";"320(2):128. doi: 10.1001/jama.2018.8773. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998345"",""pubmed"",""29998345"",""create date:2018/07/13 | first author:Kuehn B"",";;
"Screening for Peripheral Artery Disease and Cardiovascular Disease Risk Assessment With the Ankle-Brachial Index: US Preventive Services Task Force Recommendation Statement.,""/pubmed/29998344"",""US Preventive Services Task Force., Curry SJ, Krist AH, Owens DK, Barry MJ, Caughey AB, Davidson KW, Doubeni CA, Epling JW Jr, Kemper AR, Kubik M, Landefeld CS, Mangione CM, Silverstein M, Simon MA, Tseng CW, Wong JB."",""JAMA. 2018 Jul 10";"320(2):177-183. doi: 10.1001/jama.2018.8357."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998344"",""pubmed"",""29998344"",""create date:2018/07/13 | first author:US Preventive Services Task Force."",";;
"Screening for Peripheral Artery Disease Using the Ankle-Brachial Index: Updated Evidence Report and Systematic Review for the US Preventive Services Task Force.,""/pubmed/29998343"",""Guirguis-Blake JM, Evans CV, Redmond N, Lin JS."",""JAMA. 2018 Jul 10";"320(2):184-196. doi: 10.1001/jama.2018.4250. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998343"",""pubmed"",""29998343"",""create date:2018/07/13 | first author:Guirguis-Blake JM"",";;
"On Breaking Bad News.,""/pubmed/29998341"",""Klyce W."",""JAMA. 2018 Jul 10";"320(2):135-136. doi: 10.1001/jama.2018.8544. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998341"",""pubmed"",""29998341"",""create date:2018/07/13 | first author:Klyce W"",";;
"Screening for Peripheral Artery Disease With Ankle-Brachial Index.,""/pubmed/29998339"",""Jin J."",""JAMA. 2018 Jul 10";"320(2):212. doi: 10.1001/jama.2018.9112. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998339"",""pubmed"",""29998339"",""create date:2018/07/13 | first author:Jin J"",";;
"Effect of Acupuncture vs Sham Acupuncture or Waitlist Control on Joint Pain Related to Aromatase Inhibitors Among Women With Early-Stage Breast Cancer: A Randomized Clinical Trial.,""/pubmed/29998338"",""Hershman DL, Unger JM, Greenlee H, Capodice JL, Lew DL, Darke AK, Kengla AT, Melnik MK, Jorgensen CW, Kreisle WH, Minasian LM, Fisch MJ, Henry NL, Crew KD."",""JAMA. 2018 Jul 10";"320(2):167-176. doi: 10.1001/jama.2018.8907."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998338"",""pubmed"",""29998338"",""create date:2018/07/13 | first author:Hershman DL"",";;
"Effect of Alteplase vs Aspirin on Functional Outcome for Patients With Acute Ischemic Stroke and Minor Nondisabling Neurologic Deficits: The PRISMS Randomized Clinical Trial.,""/pubmed/29998337"",""Khatri P, Kleindorfer DO, Devlin T, Sawyer RN Jr, Starr M, Mejilla J, Broderick J, Chatterjee A, Jauch EC, Levine SR, Romano JG, Saver JL, Vagal A, Purdon B, Devenport J, Pavlov A, Yeatts SD";" PRISMS Investigators.."",""JAMA. 2018 Jul 10";"320(2):156-166. doi: 10.1001/jama.2018.8496."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998337"",""pubmed"",""29998337"",""create date:2018/07/13 | first author:Khatri P"",";
"Effect of a Home-Based Wearable Continuous ECG Monitoring Patch on Detection of Undiagnosed Atrial Fibrillation: The mSToPS Randomized Clinical Trial.,""/pubmed/29998336"",""Steinhubl SR, Waalen J, Edwards AM, Ariniello LM, Mehta RR, Ebner GS, Carter C, Baca-Motes K, Felicione E, Sarich T, Topol EJ."",""JAMA. 2018 Jul 10";"320(2):146-155. doi: 10.1001/jama.2018.8102."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998336"",""pubmed"",""29998336"",""create date:2018/07/13 | first author:Steinhubl SR"",";;
"Importance of Intelligence and Emotional Intelligence for Physicians-Reply.,""/pubmed/29998335"",""Emanuel EJ, Gudbranson E."",""JAMA. 2018 Jul 10";"320(2):205-206. doi: 10.1001/jama.2018.6290. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998335"",""pubmed"",""29998335"",""create date:2018/07/13 | first author:Emanuel EJ"",";;
"Low-Fat vs Low-Carbohydrate Diets and Weight Loss-Reply.,""/pubmed/29998334"",""Gardner C."",""JAMA. 2018 Jul 10";"320(2):203-204. doi: 10.1001/jama.2018.6248. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998334"",""pubmed"",""29998334"",""create date:2018/07/13 | first author:Gardner C"",";;
"Importance of Intelligence and Emotional Intelligence for Physicians.,""/pubmed/29998333"",""Shore SK, Schaeffer SJ 3rd, Tsao JW."",""JAMA. 2018 Jul 10";"320(2):204-205. doi: 10.1001/jama.2018.6286. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998333"",""pubmed"",""29998333"",""create date:2018/07/13 | first author:Shore SK"",";;
"Importance of Intelligence and Emotional Intelligence for Physicians.,""/pubmed/29998332"",""Kantor BN, Kantor J."",""JAMA. 2018 Jul 10";"320(2):204. doi: 10.1001/jama.2018.6282. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998332"",""pubmed"",""29998332"",""create date:2018/07/13 | first author:Kantor BN"",";;
"Importance of Intelligence and Emotional Intelligence for Physicians.,""/pubmed/29998331"",""Willoughby E, Boutwell BB."",""JAMA. 2018 Jul 10";"320(2):205. doi: 10.1001/jama.2018.6278. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998331"",""pubmed"",""29998331"",""create date:2018/07/13 | first author:Willoughby E"",";;
"Low-Fat vs Low-Carbohydrate Diets and Weight Loss.,""/pubmed/29998330"",""Qi L, Bray GA, Sacks FM."",""JAMA. 2018 Jul 10";"320(2):202-203. doi: 10.1001/jama.2018.6244. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998330"",""pubmed"",""29998330"",""create date:2018/07/13 | first author:Qi L"",";;
"Low-Fat vs Low-Carbohydrate Diets and Weight Loss.,""/pubmed/29998329"",""Rahman VJ."",""JAMA. 2018 Jul 10";"320(2):202. doi: 10.1001/jama.2018.6240. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998329"",""pubmed"",""29998329"",""create date:2018/07/13 | first author:Rahman VJ"",";;
"Testosterone Prescribing in the United States, 2002-2016.,""/pubmed/29998328"",""Baillargeon J, Kuo YF, Westra JR, Urban RJ, Goodwin JS."",""JAMA. 2018 Jul 10";"320(2):200-202. doi: 10.1001/jama.2018.7999. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998328"",""pubmed"",""29998328"",""create date:2018/07/13 | first author:Baillargeon J"",";;
"Current Comment: The Hen and Her Imitators.,""/pubmed/29998327"",""[No authors listed]"",""JAMA. 2018 Jul 10";"320(2):208. doi: 10.1001/jama.2017.12457. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998327"",""pubmed"",""29998327"",""create date:2018/07/13"",";;
"New Ebola Outbreak in Africa Is a Major Test for the WHO.,""/pubmed/29998326"",""Gostin LO."",""JAMA. 2018 Jul 10";"320(2):125-126. doi: 10.1001/jama.2018.8537. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29998326"",""pubmed"",""29998326"",""create date:2018/07/13 | first author:Gostin LO"",";;
